NAME,MASS,MASS_SINI,SEMI_MAJOR_AXIS,ORBITAL_PERIOD,ECCENTRICITY,OMEGA,TIME_PERIAPSE,PLANETARY_RADIUS,INCLINATION,DETECTION_TYPE,STAR_MASS,STAR_AGE,STAR_TEMP,STAR_RADIUS,STAR_METALLICITY
11 Com b,19.4,19.4,1.29,326.03,0.231,94.8,2452899.6,,,Radial Velocity,2.7,,4742.0,19.0,0.35
11 Oph b,21.0,,243.0,730000.0,,,,,,Imaging,0.0162,0.011000000000000001,2375.0,,
11 UMi b,10.5,10.5,1.54,516.22,0.08,117.63,2452861.05,,,Radial Velocity,1.8,1.56,4340.0,24.08,0.04
14 And b,5.33,5.33,0.83,185.84,0.0,,2452861.4,,,Radial Velocity,2.2,,4813.0,11.0,0.24
14 Her b,4.64,4.64,2.77,1773.4,0.369,22.6,2451372.7,,,Radial Velocity,0.9,5.1,5311.0,0.708,0.43
16 Cyg B b,1.68,1.68,1.68,799.5,0.6890000000000001,83.4,2450539.3,,,Radial Velocity,1.01,8.0,5766.0,0.98,0.08
18 Del b,10.3,10.3,2.6,993.3,0.08,166.1,2451672.0,,,Radial Velocity,2.3,,4979.0,8.5,0.052000000000000005
1RXS 1609 b,14.0,,330.0,,,,,1.7,,Imaging,0.73,0.011000000000000001,4060.0,1.35,
1RXS J235133.3+312720 b,32.0,,120.0,,,,,,,Imaging,0.45,0.1,,,
1SWASP J1407 b,20.0,20.0,3.9,3725.0,,,,,,Primary Transit,0.9,0.016,4400.0,0.99,
24 Boo b,0.91,0.91,0.19,30.3506,0.042,210.0,2450008.6,,,Radial Velocity,0.99,6.92,4893.0,10.64,0.77
24 Sex b,1.99,1.99,1.3330000000000002,452.8,0.09,9.2,2454762.0,,,Radial Velocity,1.54,2.7,5098.0,4.9,0.03
24 Sex c,0.86,0.86,2.08,883.0,0.29,220.5,2454930.0,,,Radial Velocity,1.54,2.7,5098.0,4.9,0.03
2M 0103-55 (AB) b,13.0,,84.0,,,,,,,Imaging,0.4,0.03,,,
2M 0122-24 b,20.0,,52.0,,,,,1.0,,Imaging,0.4,0.12,,,
2M 0219-39 b,13.9,,156.0,,,,,1.44,,Imaging,0.11,,3064.0,0.27,
2M 0441+23 b,7.5,,15.0,,,,,,,Imaging,0.02,0.001,,,
2M 0746+20 b,12.21,,2.897,4640.0,0.48700000000000004,354.4,,0.97,138.2,Imaging,0.08,,2205.0,0.08900000000000001,
2M 1938+46 b,1.9,,0.92,416.0,,,,,,Timing,0.6,,,,
2M 2140+16 b,20.0,,3.53,7340.0,0.26,223.0,,0.92,46.2,Imaging,0.08,,2300.0,0.1,
2M 2206-20 b,30.0,,4.48,8686.0,0.0,,,1.3,44.3,Imaging,0.13,,2350.0,0.11,
2M 2236+4751 b,12.5,,230.0,,,,,,,Imaging,0.6,0.12,,,
2M J2126-81 b,13.3,,6900.0,,,,,,,Imaging,0.4,0.027000000000000003,,,
2M0045+16,25.0,,,,,,,,,Imaging,,,,,
2M0117-34,16.4,,,,,,,,,Imaging,,,,,
2M1207 A,60.0,,42.0,,,,,,,Imaging,,,,,
2M1207 b,5.0,,42.0,,,,,,,Imaging,,,,,
2MASS J00413538-5621127 A,30.0,,,,,,,,,Imaging,,,,,
2MASS J00413538-5621127 B,15.0,,8.9,126.0,,,,,,Imaging,,,,,
2MASS J0249-0557 (AB) c,11.6,,,,,,,,,Astrometry,,,,,
2MASS J0249-0557A,48.0,,,,,,,,,Astrometry,,,,,
2MASS J0249-0557B,44.0,,,,,,,,,Astrometry,,,,,
2MASS J11011926-7732383 A,50.0,,,,,,,,,Imaging,,,,,
2MASS J11011926-7732383 B,30.0,,240.0,,,,,,,Imaging,,,,,
2MASS J11193254 AB,3.7,,,32850.0,,,,,,Imaging,,0.01,,,
2MASS J1450-7841 A,40.0,,300.0,,,,,,,Imaging,0.04,,,,
2MASS J1450-7841 B,40.0,,300.0,,,,,,,Imaging,0.04,,,,
2MASS J15344984-2952274 A,30.1,,,,,,,,,Astrometry,,,,,
2MASS J15344984-2952274 B,28.2,,2.3,5550.0,0.24,178.0,2456024.0,,84.3,Astrometry,,,,,
2MASS J2250+2325 b,30.0,,518.0,,,,,,,Imaging,,0.15,,,
30 Ari B b,9.88,9.88,0.995,335.1,0.289,307.0,2454538.0,,,Radial Velocity,1.22,0.91,6484.0,1.23,0.12
38 Vir b,4.51,4.51,1.82,825.9,0.03,,,,,Primary Transit,1.18,1.9,6557.0,1.45,0.07
4 Uma b,7.1,7.1,0.87,269.3,0.43200000000000005,23.81,2452987.394,,,Radial Velocity,1.234,4.604,4415.0,,0.25
42 Dra b,3.88,3.88,1.19,479.1,0.38,218.7,2452757.4,,,Radial Velocity,0.98,9.49,4200.0,22.03,0.46
47 Uma b,2.53,2.53,2.1,1078.0,0.032,334.0,2451917.0,,,Radial Velocity,1.03,7.4,5892.0,1.24,0.0
47 Uma c,0.54,0.54,3.6,2391.0,0.098,295.0,2456441.0,,,Radial Velocity,1.03,7.4,5892.0,1.24,0.0
47 Uma d,1.64,1.64,11.6,14002.0,0.16,110.0,2451736.0,,,Radial Velocity,1.03,7.4,5892.0,1.24,0.0
51 Eri b,2.6,,12.0,1100.0,0.49,84.0,2452014.79,1.11,135.0,Imaging,1.75,0.02,,,0.027000000000000003
51 Peg b,0.47,0.46,0.052000000000000005,4.2308,0.0069,54.1,2450404.4,1.9,80.0,Radial Velocity,1.11,4.0,5793.0,1.266,0.2
55 Cnc b,0.84,0.84,0.11339,14.653139999999999,0.0023,110.0,2453035.0,,89.73,Radial Velocity,1.015,10.2,5196.0,0.98,0.31
55 Cnc c,0.1784,0.1784,0.23735,44.373000000000005,0.07200000000000001,356.0,2453983.0,,,Radial Velocity,1.015,10.2,5196.0,0.98,0.31
55 Cnc d,3.86,3.86,5.446000000000001,4867.0,0.0269,254.0,2453490.0,,,Radial Velocity,1.015,10.2,5196.0,0.98,0.31
55 Cnc e,0.027030000000000002,,0.015438999999999998,0.7365478,0.027999999999999997,170.0,2449999.836,0.1737,90.36,Primary Transit,1.015,10.2,5196.0,0.98,0.31
55 Cnc f,0.1479,0.1479,0.7733,260.91,0.08,139.0,2451878.0,,,Radial Velocity,1.015,10.2,5196.0,0.98,0.31
6 Lyn b,68.8,2.4,2.2,899.0,0.134,27.0,2453309.0,,2.0,Radial Velocity,1.7,,4978.0,5.2,0.13
61 Vir b,0.016,0.016,0.050200999999999996,4.215,0.12,105.0,2453369.1659999997,,,Radial Velocity,0.95,8.96,5531.0,0.94,0.01
61 Vir c,0.0573,0.0573,0.2175,38.021,0.14,341.0,2453369.1659999997,,,Radial Velocity,0.95,8.96,5531.0,0.94,0.01
61 Vir d,0.07200000000000001,0.07200000000000001,0.47600000000000003,123.01,0.35,314.0,2453369.1659999997,,,Radial Velocity,0.95,8.96,5531.0,0.94,0.01
7 CMa b,2.46,2.46,1.93,796.0,0.22,77.0,2454093.0,,,Radial Velocity,1.52,,4792.0,2.3,0.21
70 Vir b,6.6,6.6,0.48,116.67,0.43,2.1,2448990.403,,,Radial Velocity,0.92,7.09,5432.0,1.9680000000000002,0.11
75 Cet b,3.0,3.0,2.1,691.9,,,2452213.0,,,Radial Velocity,2.49,,4846.0,10.5,0.0
8 Umi b,1.5,1.5,0.49,93.4,0.06,91.0,2454108.5,,,Radial Velocity,1.8,1.7,4847.4,9.9,0.03
81 Cet b,5.3,5.3,2.5,952.7,0.20600000000000002,175.0,2452486.0,,,Radial Velocity,2.4,,,11.0,0.06
